Country,Crop,Year,Yield,Region,latitude,longitude,Current Average Temperature (dC)_area_weighted,Current Average Temperature_point_coordinate (dC),Current Annual Precipitation (mm) _area_weighted,Current Annual Precipitation  (mm) _point_coordinate,Future_Mid-point,Climate scenario,Scenario source,Local delta T,Local delta T from 2005,Annual Precipitation change each study  (mm),Annual Precipitation change  from 2005 (mm),Global delta T from pre-industrial period,Global delta T from 2005,Projected yield (t/ha),Climate impacts (%),Climate impacts relative to 2005,Climate impacts per dC (%),Climate impacts per decade (%),CO2,CO2 ppm,Fertiliser,Irrigation,Cultivar,Soil organic matter management,Planting time,Tillage,Others,Adaptation,Adaptation type,Seasonal Precipitation change (mm) each study (local baseperiod),Base precipitation (annual) (mm) (local base period),Annual Preciptation change (%) (relative to local base),Base precipitation (seasonal) (mm) (local base period)
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP2.6,CMIP5,1.222,1.222,7.304,7.304,1.833,1.043,2.6109,9.88091,9.88091,8.085851064,1.317454667,Yes,431.45,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP4.5,CMIP5,2.638,2.638,-8.0344,-8.0344,2.607,1.817,2.4846,8.63236,8.63236,3.272312358,1.150981333,Yes,530.65,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP8.5,CMIP5,4.692,4.692,-18.6252,-18.6252,4.118,3.328,2.3977,11.8228,11.8228,2.519778346,1.576373333,Yes,763.4,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP2.6,CMIP5,1.222,1.222,7.304,7.304,1.833,1.043,2.741,14.1564,14.1564,11.58461538,1.88752,Yes,431.45,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP4.5,CMIP5,2.638,2.638,-8.0344,-8.0344,2.607,1.817,2.8477,22.6123,22.6123,8.571758908,3.014973333,Yes,530.65,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP8.5,CMIP5,4.692,4.692,-18.6252,-18.6252,4.118,3.328,3.1647,44.6551,44.6551,9.51728474,5.954013333,Yes,763.4,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP2.6,CMIP5,0.866,0.866,18.26,18.26,1.587,0.797,2.3164,8.96035,8.96035,10.34682448,3.58414,Yes,429.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP4.5,CMIP5,1.021,1.021,11.3212,11.3212,1.572,0.782,2.2777,8.85224,8.85224,8.670166503,3.540896,Yes,436.55,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP8.5,CMIP5,1.234,1.234,-32.5028,-32.5028,1.728,0.938,2.2609,8.76501,8.76501,7.102925446,3.506004,Yes,451.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP2.6,CMIP5,0.866,0.866,18.26,18.26,1.587,0.797,2.4261,12.8062,12.8062,14.78775982,5.12248,Yes,429.9,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP4.5,CMIP5,1.021,1.021,11.3212,11.3212,1.572,0.782,2.4051,13.5413,13.5413,13.26278159,5.41652,Yes,436.55,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP8.5,CMIP5,1.234,1.234,-32.5028,-32.5028,1.728,0.938,2.421,15.0147,15.0147,12.16750405,6.00588,Yes,451.9,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP2.6,CMIP5,1.142,1.142,12.782,12.782,1.791,1.001,2.5586,10.1663,10.1663,8.902189142,2.259177778,Yes,442.15,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP4.5,CMIP5,1.867,1.867,2.1912,2.1912,2.094,1.304,2.3679,5.38077,5.38077,2.882040707,1.195726667,Yes,487.15,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP8.5,CMIP5,2.434,2.434,-14.608,-14.608,2.593,1.803,2.3036,5.64879,5.64879,2.320784717,1.255286667,Yes,545.35,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP2.6,CMIP5,1.142,1.142,12.782,12.782,1.791,1.001,2.7153,15.6146,15.6146,13.67302977,3.469911111,Yes,442.15,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP4.5,CMIP5,1.867,1.867,2.1912,2.1912,2.094,1.304,2.6222,15.0395,15.0395,8.055436529,3.342111111,Yes,487.15,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP8.5,CMIP5,2.434,2.434,-14.608,-14.608,2.593,1.803,2.6671,20.4109,20.4109,8.385743632,4.535755556,Yes,545.35,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP2.6,CMIP5,1.222,1.222,7.304,7.304,1.833,1.043,2.6109,9.88091,9.88091,8.085851064,1.317454667,Yes,431.45,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP4.5,CMIP5,2.638,2.638,-8.0344,-8.0344,2.607,1.817,2.4846,8.63236,8.63236,3.272312358,1.150981333,Yes,530.65,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP8.5,CMIP5,4.692,4.692,-18.6252,-18.6252,4.118,3.328,2.3977,11.8228,11.8228,2.519778346,1.576373333,Yes,763.4,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP2.6,CMIP5,1.222,1.222,7.304,7.304,1.833,1.043,2.741,14.1564,14.1564,11.58461538,1.88752,Yes,431.45,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP4.5,CMIP5,2.638,2.638,-8.0344,-8.0344,2.607,1.817,2.8477,22.6123,22.6123,8.571758908,3.014973333,Yes,530.65,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Rice,2005,3.03125,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP8.5,CMIP5,4.692,4.692,-18.6252,-18.6252,4.118,3.328,3.1647,44.6551,44.6551,9.51728474,5.954013333,Yes,763.4,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP2.6,CMIP5,0.866,0.866,18.26,18.26,1.587,0.797,2.3164,8.96035,8.96035,10.34682448,3.58414,Yes,429.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP4.5,CMIP5,1.021,1.021,11.3212,11.3212,1.572,0.782,2.2777,8.85224,8.85224,8.670166503,3.540896,Yes,436.55,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP8.5,CMIP5,1.234,1.234,-32.5028,-32.5028,1.728,0.938,2.2609,8.76501,8.76501,7.102925446,3.506004,Yes,451.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP2.6,CMIP5,0.866,0.866,18.26,18.26,1.587,0.797,2.4261,12.8062,12.8062,14.78775982,5.12248,Yes,429.9,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP4.5,CMIP5,1.021,1.021,11.3212,11.3212,1.572,0.782,2.4051,13.5413,13.5413,13.26278159,5.41652,Yes,436.55,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP8.5,CMIP5,1.234,1.234,-32.5028,-32.5028,1.728,0.938,2.421,15.0147,15.0147,12.16750405,6.00588,Yes,451.9,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP2.6,CMIP5,1.142,1.142,12.782,12.782,1.791,1.001,2.5586,10.1663,10.1663,8.902189142,2.259177778,Yes,442.15,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP4.5,CMIP5,1.867,1.867,2.1912,2.1912,2.094,1.304,2.3679,5.38077,5.38077,2.882040707,1.195726667,Yes,487.15,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP8.5,CMIP5,2.434,2.434,-14.608,-14.608,2.593,1.803,2.3036,5.64879,5.64879,2.320784717,1.255286667,Yes,545.35,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP2.6,CMIP5,1.142,1.142,12.782,12.782,1.791,1.001,2.7153,15.6146,15.6146,13.67302977,3.469911111,Yes,442.15,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP4.5,CMIP5,1.867,1.867,2.1912,2.1912,2.094,1.304,2.6222,15.0395,15.0395,8.055436529,3.342111111,Yes,487.15,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP8.5,CMIP5,2.434,2.434,-14.608,-14.608,2.593,1.803,2.6671,20.4109,20.4109,8.385743632,4.535755556,Yes,545.35,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP2.6,CMIP5,1.222,1.222,7.304,7.304,1.833,1.043,2.6109,9.88091,9.88091,8.085851064,1.317454667,Yes,431.45,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP4.5,CMIP5,2.638,2.638,-8.0344,-8.0344,2.607,1.817,2.4846,8.63236,8.63236,3.272312358,1.150981333,Yes,530.65,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP8.5,CMIP5,4.692,4.692,-18.6252,-18.6252,4.118,3.328,2.3977,11.8228,11.8228,2.519778346,1.576373333,Yes,763.4,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP2.6,CMIP5,1.222,1.222,7.304,7.304,1.833,1.043,2.741,14.1564,14.1564,11.58461538,1.88752,Yes,431.45,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP4.5,CMIP5,2.638,2.638,-8.0344,-8.0344,2.607,1.817,2.8477,22.6123,22.6123,8.571758908,3.014973333,Yes,530.65,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Wheat,2005,1.821520068,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2080,RCP8.5,CMIP5,4.692,4.692,-18.6252,-18.6252,4.118,3.328,3.1647,44.6551,44.6551,9.51728474,5.954013333,Yes,763.4,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP2.6,CMIP5,0.781,0.781,2.9216,2.9216,1.587,0.797,1.8361,-35.3219,-35.3219,-45.22650448,-14.12876,Yes,429.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP4.5,CMIP5,0.706,0.706,-20.086,-20.086,1.572,0.782,1.7344,-39.9105,-39.9105,-56.53045326,-15.9642,Yes,436.55,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP8.5,CMIP5,0.911,0.911,-13.5124,-13.5124,1.728,0.938,1.6692,-38.669,-38.669,-42.4467618,-15.4676,Yes,451.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP2.6,CMIP5,0.781,0.781,2.9216,2.9216,1.587,0.797,1.9368,-31.8729,-31.8729,-40.81037132,-12.74916,Yes,429.9,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP4.5,CMIP5,0.706,0.706,-20.086,-20.086,1.572,0.782,1.8443,-35.9753,-35.9753,-50.95651558,-14.39012,Yes,436.55,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP8.5,CMIP5,0.911,0.911,-13.5124,-13.5124,1.728,0.938,1.8022,-33.4966,-33.4966,-36.76904501,-13.39864,Yes,451.9,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2050,RCP2.6,CMIP5,1.018,1.018,-14.608,-14.608,1.791,1.001,2.059,-37.6321,-37.6321,-36.96669941,-8.362688889,Yes,442.15,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2050,RCP4.5,CMIP5,1.303,1.303,-15.7036,-15.7036,2.094,1.304,2.1094,-34.8283,-34.8283,-26.72931696,-7.739622222,Yes,487.15,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2050,RCP8.5,CMIP5,1.852,1.852,10.2256,10.2256,2.593,1.803,1.7412,-41.2323,-41.2323,-22.26366091,-9.162733333,Yes,545.35,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2050,RCP2.6,CMIP5,1.018,1.018,-14.608,-14.608,1.791,1.001,2.2101,-32.9493,-32.9493,-32.36669941,-7.322066667,Yes,442.15,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2050,RCP4.5,CMIP5,1.303,1.303,-15.7036,-15.7036,2.094,1.304,2.3883,-25.2849,-25.2849,-19.40514198,-5.618866667,Yes,487.15,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2050,RCP8.5,CMIP5,1.852,1.852,10.2256,10.2256,2.593,1.803,2.069,-28.6259,-28.6259,-15.45674946,-6.361311111,Yes,545.35,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2080,RCP2.6,CMIP5,1.02,1.02,7.304,7.304,1.833,1.043,2.5142,-28.6681,-28.6681,-28.10598039,-3.822413333,Yes,431.45,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2080,RCP4.5,CMIP5,1.99,1.99,-20.4512,-20.4512,2.607,1.817,2.1483,-40.092,-40.092,-20.14673367,-5.3456,Yes,530.65,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2080,RCP8.5,CMIP5,3.851,3.851,-19.7208,-19.7208,4.118,3.328,1.752,-44.9142,-44.9142,-11.66299662,-5.98856,Yes,763.4,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2080,RCP2.6,CMIP5,1.02,1.02,7.304,7.304,1.833,1.043,2.6651,-24.4142,-24.4142,-23.9354902,-3.255226667,Yes,431.45,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2080,RCP4.5,CMIP5,1.99,1.99,-20.4512,-20.4512,2.607,1.817,2.5436,-27.6819,-27.6819,-13.91050251,-3.69092,Yes,530.65,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Maize,2005,3.386430678,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2080,RCP8.5,CMIP5,3.851,3.851,-19.7208,-19.7208,4.118,3.328,2.4396,-19.6153,-19.6153,-5.093560114,-2.615373333,Yes,763.4,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Algeria,Rice,2005,1.304983278,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP2.6,CMIP5,0.781,0.781,2.9216,2.9216,1.587,0.797,1.8361,-35.3219,-35.3219,-45.22650448,-14.12876,Yes,429.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Rice,2005,1.304983278,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP4.5,CMIP5,0.706,0.706,-20.086,-20.086,1.572,0.782,1.7344,-39.9105,-39.9105,-56.53045326,-15.9642,Yes,436.55,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Rice,2005,1.304983278,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP8.5,CMIP5,0.911,0.911,-13.5124,-13.5124,1.728,0.938,1.6692,-38.669,-38.669,-42.4467618,-15.4676,Yes,451.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Algeria,Rice,2005,1.304983278,Africa,28.0339,1.65963,16.46422456,23.29066849,486.4746286,15.81401554,2030,RCP2.6,CMIP5,0.781,0.781,2.9216,2.9216,1.587,0.797,1.9368,-31.8729,-31.8729,-40.81037132,-12.74916,Yes,429.9,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
